step,resource,observation_0,action_0,personal_reward_0,empathic_reward_0,combined_reward_0,observation_1,action_1,personal_reward_1,empathic_reward_1,combined_reward_1,observation_2,action_2,personal_reward_2,empathic_reward_2,combined_reward_2,observation_3,action_3,personal_reward_3,empathic_reward_3,combined_reward_3,observation_4,action_4,personal_reward_4,empathic_reward_4,combined_reward_4
17,2959.0,[-0.4],1,0.6499999999999999,-0.3214285714285714,0.3285714285714285,[-0.35],1,0.58,-0.2857142857142857,0.29428571428571426,[-0.4],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.5],1,0.7899999999999999,-0.3928571428571428,0.39714285714285713,[-0.35],1,0.58,-0.2857142857142857,0.29428571428571426
18,2956.0,[-0.3],1,0.6499999999999999,-0.3214285714285714,0.3285714285714285,[-0.275],1,0.6499999999999999,-0.3214285714285714,0.3285714285714285,[-0.275],1,0.58,-0.28571428571428564,0.2942857142857143,[-0.375],0,0.42,-0.3571428571428571,0.06285714285714289,[-0.275],0,0.27999999999999997,-0.28571428571428564,-0.005714285714285672
19,2955.0,[-0.3],0,0.35,-0.3571428571428571,-0.0071428571428571175,[-0.3],0,0.35,-0.3571428571428571,-0.0071428571428571175,[-0.275],1,0.6499999999999999,-0.3571428571428571,0.2928571428571428,[-0.35],0,0.35,-0.3571428571428571,-0.0071428571428571175,[-0.275],0,0.21,-0.28571428571428564,-0.07571428571428565
20,2951.0,[-0.375],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.375],1,0.6499999999999999,-0.3214285714285714,0.3285714285714285,[-0.375],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.375],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.3],1,0.51,-0.24999999999999994,0.26000000000000006
21,2949.0,[-0.35],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.3],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.35],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.275],1,0.6499999999999999,-0.3214285714285714,0.3285714285714285,[-0.225],0,0.21,-0.24999999999999994,-0.03999999999999995
22,2946.0,[-0.375],1,0.7899999999999999,-0.3571428571428571,0.43285714285714283,[-0.325],0,0.35,-0.2857142857142857,0.06428571428571428,[-0.325],1,0.6499999999999999,-0.2857142857142857,0.3642857142857142,[-0.325],1,0.6499999999999999,-0.2857142857142857,0.3642857142857142,[-0.25],0,0.21,-0.21428571428571425,-0.004285714285714254
23,2944.0,[-0.375],1,0.7899999999999999,-0.42857142857142855,0.3614285714285714,[-0.3],1,0.6499999999999999,-0.3571428571428571,0.2928571428571428,[-0.3],0,0.27999999999999997,-0.3214285714285714,-0.041428571428571426,[-0.3],0,0.27999999999999997,-0.3214285714285714,-0.041428571428571426,[-0.225],0,0.21,-0.2857142857142857,-0.0757142857142857
24,2942.0,[-0.425],1,0.7899999999999999,-0.3928571428571428,0.39714285714285713,[-0.35],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.325],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.325],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.275],0,0.21,-0.24999999999999994,-0.03999999999999995
25,2940.0,[-0.375],0,0.48999999999999994,-0.3571428571428571,0.13285714285714284,[-0.35],0,0.35,-0.2857142857142857,0.06428571428571428,[-0.275],1,0.6499999999999999,-0.2857142857142857,0.3642857142857142,[-0.275],0,0.27999999999999997,-0.24999999999999994,0.030000000000000027,[-0.225],1,0.58,-0.24999999999999994,0.33
26,2938.0,[-0.35],0,0.48999999999999994,-0.3571428571428571,0.13285714285714284,[-0.275],1,0.72,-0.3214285714285714,0.3985714285714286,[-0.275],0,0.35,-0.2857142857142857,0.06428571428571428,[-0.25],0,0.21,-0.21428571428571425,-0.004285714285714254,[-0.25],1,0.58,-0.24999999999999997,0.32999999999999996
27,2935.0,[-0.35],1,0.7899999999999999,-0.3928571428571428,0.39714285714285713,[-0.325],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.275],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.2],1,0.51,-0.24999999999999994,0.26000000000000006,[-0.25],1,0.58,-0.2857142857142857,0.29428571428571426
28,2934.0,[-0.4],1,0.7899999999999999,-0.4642857142857142,0.32571428571428573,[-0.325],0,0.27999999999999997,-0.3571428571428571,-0.07714285714285712,[-0.325],0,0.27999999999999997,-0.3571428571428571,-0.07714285714285712,[-0.25],0,0.21,-0.3214285714285714,-0.1114285714285714,[-0.3],0,0.27999999999999997,-0.3571428571428571,-0.07714285714285712
29,2929.0,[-0.45],1,0.8599999999999999,-0.3571428571428571,0.5028571428571428,[-0.35],1,0.6499999999999999,-0.20238095238095227,0.44761904761904764,[-0.35],1,0.58,-0.16666666666666655,0.41333333333333344,[-0.3],1,0.58,-0.16666666666666655,0.41333333333333344,[-0.35],1,0.6499999999999999,-0.20238095238095227,0.44761904761904764
30,2926.0,[-0.35],1,0.8599999999999999,-0.3928571428571428,0.4671428571428571,[-0.2],1,0.27999999999999997,-0.20238095238095227,0.0776190476190477,[-0.175],1,0.58,-0.20238095238095227,0.3776190476190477,[-0.175],0,0.27999999999999997,-0.20238095238095227,0.0776190476190477,[-0.2],1,0.6499999999999999,-0.23809523809523797,0.41190476190476194
31,2924.0,[-0.375],1,0.8599999999999999,-0.3928571428571428,0.4671428571428571,[-0.2],0,0.27999999999999997,-0.20238095238095227,0.0776190476190477,[-0.2],0,0.27999999999999997,-0.20238095238095227,0.0776190476190477,[-0.2],0,0.21,-0.16666666666666655,0.043333333333333446,[-0.225],1,0.72,-0.2738095238095237,0.44619047619047625
32,2920.0,[-0.375],1,0.8599999999999999,-0.3571428571428571,0.5028571428571428,[-0.2],1,0.6499999999999999,-0.20238095238095227,0.44761904761904764,[-0.2],1,0.58,-0.16666666666666657,0.4133333333333334,[-0.15],1,0.51,-0.13095238095238085,0.3790476190476192,[-0.275],0,0.42,-0.23809523809523797,0.181904761904762
33,2916.0,[-0.35],1,0.8599999999999999,-0.2857142857142857,0.5742857142857142,[-0.2],1,0.6499999999999999,-0.13095238095238085,0.5190476190476191,[-0.175],0,0.27999999999999997,-0.09523809523809514,0.18476190476190485,[-0.125],1,0.58,-0.09523809523809514,0.48476190476190484,[-0.25],1,0.7899999999999999,-0.20238095238095227,0.5876190476190477
34,2916.0,[-0.275],0,0.48999999999999994,-0.3214285714285714,0.16857142857142854,[-0.125],0,0.27999999999999997,-0.21428571428571425,0.06571428571428573,[-0.1],0,0.27999999999999997,-0.21428571428571425,0.06571428571428573,[-0.1],0,0.27999999999999997,-0.21428571428571425,0.06571428571428573,[-0.2],0,0.48999999999999994,-0.3214285714285714,0.16857142857142854
35,2914.0,[-0.3],1,0.8599999999999999,-0.3571428571428571,0.5028571428571428,[-0.2],0,0.27999999999999997,-0.16666666666666657,0.1133333333333334,[-0.2],0,0.21,-0.13095238095238085,0.07904761904761914,[-0.2],1,0.6499999999999999,-0.20238095238095227,0.44761904761904764,[-0.3],0,0.42,-0.23809523809523797,0.181904761904762
36,2911.0,[-0.35],1,0.9299999999999999,-0.35714285714285704,0.572857142857143,[-0.175],1,0.58,-0.08333333333333326,0.4966666666666667,[-0.125],1,0.58,-0.08333333333333326,0.4966666666666667,[-0.2],0,0.35,-0.11904761904761897,0.23095238095238102,[-0.25],0,0.35,-0.11904761904761897,0.23095238095238102
37,2909.0,[-0.35],0,0.5599999999999999,-0.3571428571428571,0.20285714285714285,[-0.075],0,0.27999999999999997,-0.16666666666666655,0.11333333333333342,[-0.075],1,0.6499999999999999,-0.20238095238095227,0.44761904761904764,[-0.1],0,0.27999999999999997,-0.16666666666666655,0.11333333333333342,[-0.1],1,0.6499999999999999,-0.20238095238095227,0.44761904761904764
38,2908.0,[-0.35],0,0.48999999999999994,-0.32142857142857134,0.1685714285714286,[-0.175],1,0.6499999999999999,-0.24999999999999994,0.39999999999999997,[-0.2],0,0.35,-0.24999999999999994,0.10000000000000003,[-0.175],0,0.27999999999999997,-0.21428571428571425,0.06571428571428573,[-0.2],0,0.35,-0.24999999999999994,0.10000000000000003
39,2904.0,[-0.325],1,0.7899999999999999,-0.3571428571428571,0.43285714285714283,[-0.25],1,0.6499999999999999,-0.28571428571428564,0.36428571428571427,[-0.25],1,0.6499999999999999,-0.28571428571428564,0.36428571428571427,[-0.225],0,0.21,-0.21428571428571425,-0.004285714285714254,[-0.25],1,0.6499999999999999,-0.2857142857142857,0.3642857142857142
40,2903.0,[-0.375],0,0.42,-0.3928571428571428,0.02714285714285719,[-0.3],1,0.72,-0.3928571428571428,0.3271428571428572,[-0.3],0,0.27999999999999997,-0.3214285714285714,-0.041428571428571426,[-0.225],0,0.21,-0.2857142857142857,-0.0757142857142857,[-0.3],0,0.27999999999999997,-0.3214285714285714,-0.041428571428571426
