seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_empathic_reward_0,total_empathic_reward_1,total_combined_reward_0,total_combined_reward_1
1,0,500,2.0,100,500,47.999999999999865,-400.0000000000002,-175.99999999999997,49.99999999999977,-404.0000000000002,-177.00000000000003
1,1,488,0.0,100,500,43.99999999999997,-377.80000000000035,-166.90000000000015,55.54999999999978,-400.0,-172.22499999999985
1,2,332,0.0,100,500,40.999999999999936,-215.80000000000007,-87.40000000000002,58.54999999999983,-249.99999999999994,-95.72499999999998
1,3,331,0.0,100,500,56.34999999999983,-244.99999999999997,-94.32499999999992,42.99999999999992,-219.60000000000022,-88.3
1,4,183,0.0,100,500,54.34999999999988,-96.39999999999998,-21.025000000000002,44.14999999999997,-75.59999999999995,-15.72500000000002
1,5,297,0.0,100,500,48.8999999999998,-196.79999999999995,-73.94999999999995,50.549999999999926,-199.40000000000012,-74.42500000000004
1,6,256,0.0,100,500,48.549999999999876,-153.99999999999994,-52.72500000000002,50.999999999999865,-159.79999999999998,-54.39999999999998
1,7,310,0.0,100,500,49.99999999999993,-211.79999999999998,-80.89999999999999,49.54999999999987,-209.99999999999991,-80.22500000000002
1,8,383,0.0,100,500,49.99999999999978,-286.20000000000005,-118.09999999999992,49.19999999999996,-283.00000000000017,-116.90000000000008
1,9,348,0.0,100,500,53.54999999999985,-255.9999999999999,-101.22500000000002,45.99999999999989,-241.79999999999993,-97.89999999999999
1,10,326,0.0,100,500,53.99999999999991,-235.8,-90.9,45.54999999999996,-217.99999999999991,-86.225
1,11,295,0.0,100,500,46.9999999999999,-190.80000000000013,-71.89999999999993,52.549999999999734,-201.00000000000014,-74.22500000000002
1,12,234,0.0,100,500,55.9999999999999,-147.79999999999993,-45.900000000000006,43.54999999999997,-121.99999999999997,-39.225
1,13,397,0.0,100,500,41.99999999999991,-282.8,-120.39999999999998,57.54999999999993,-313.0,-127.72500000000007
1,14,336,0.0,100,500,50.54999999999992,-237.99999999999983,-93.72500000000001,48.99999999999995,-235.8,-93.39999999999998
