step,resource,observation_0,action_0,personal_reward_0,empathic_reward_0,combined_reward_0,observation_1,action_1,personal_reward_1,empathic_reward_1,combined_reward_1,observation_2,action_2,personal_reward_2,empathic_reward_2,combined_reward_2,observation_3,action_3,personal_reward_3,empathic_reward_3,combined_reward_3,observation_4,action_4,personal_reward_4,empathic_reward_4,combined_reward_4
20,2951.0,[-0.1],1,0.72,-0.1,-0.1,[-0.1],1,0.6499999999999999,-0.05000000000000002,-0.05000000000000002,[-0.1],1,0.72,-0.1,-0.1,[-0.1],0,0.27999999999999997,-2.7755575615628914e-17,-2.7755575615628914e-17,[0.],1,0.51,0.04999999999999999,0.04999999999999999
21,2949.0,[-0.1],1,0.72,-0.1,-0.1,[-0.05],0,0.35,-0.05000000000000002,-0.05000000000000002,[-0.1],0,0.35,-0.05000000000000002,-0.05000000000000002,[0.],1,0.6499999999999999,-0.05000000000000002,-0.05000000000000002,[0.05],0,0.21,0.04999999999999999,0.04999999999999999
22,2946.0,[-0.1],1,0.7899999999999999,-0.1,-0.1,[-0.05],0,0.35,-2.7755575615628914e-17,-2.7755575615628914e-17,[-0.05],1,0.6499999999999999,-2.7755575615628914e-17,-2.7755575615628914e-17,[-0.05],1,0.6499999999999999,-2.7755575615628914e-17,-2.7755575615628914e-17,[0.05],0,0.21,0.09999999999999998,0.09999999999999998
23,2944.0,[-0.1],1,0.7899999999999999,-0.19999999999999998,-0.19999999999999998,[0.],1,0.6499999999999999,-0.1,-0.1,[0.],0,0.27999999999999997,-0.05000000000000002,-0.05000000000000002,[0.],0,0.27999999999999997,-0.05000000000000002,-0.05000000000000002,[0.1],0,0.21,0.0,0.0
24,2942.0,[-0.2],1,0.7899999999999999,-0.15,-0.15,[-0.1],1,0.72,-0.1,-0.1,[-0.05],0,0.27999999999999997,-2.7755575615628914e-17,-2.7755575615628914e-17,[-0.05],0,0.27999999999999997,-2.7755575615628914e-17,-2.7755575615628914e-17,[0.],0,0.21,0.04999999999999999,0.04999999999999999
25,2939.0,[-0.15],0,0.48999999999999994,-0.04999999999999999,-0.04999999999999999,[-0.1],0,0.35,0.04999999999999999,0.04999999999999999,[1.38777878e-17],1,0.6499999999999999,0.04999999999999999,0.04999999999999999,[1.38777878e-17],1,0.6499999999999999,0.04999999999999999,0.04999999999999999,[0.05],1,0.58,0.09999999999999998,0.09999999999999998
26,2937.0,[-0.05],0,0.48999999999999994,-0.04999999999999999,-0.04999999999999999,[0.05],0,0.35,0.04999999999999999,0.04999999999999999,[0.05],0,0.35,0.04999999999999999,0.04999999999999999,[0.05],1,0.6499999999999999,0.04999999999999999,0.04999999999999999,[0.1],1,0.58,0.09999999999999998,0.09999999999999998
27,2935.0,[-0.05],1,0.7899999999999999,-0.15,-0.15,[0.05],0,0.27999999999999997,-2.7755575615628914e-17,-2.7755575615628914e-17,[0.05],0,0.35,-0.05000000000000002,-0.05000000000000002,[0.05],1,0.6499999999999999,-0.05000000000000002,-0.05000000000000002,[0.1],0,0.21,0.04999999999999999,0.04999999999999999
28,2934.0,[-0.15],0,0.42,-0.2,-0.2,[0.],0,0.21,-0.05000000000000002,-0.05000000000000002,[-0.05],0,0.27999999999999997,-0.10000000000000003,-0.10000000000000003,[-0.05],1,0.72,-0.2,-0.2,[0.05],0,0.21,-0.05000000000000002,-0.05000000000000002
29,2930.0,[-0.2],1,0.7899999999999999,-0.09999999999999998,-0.09999999999999998,[-0.05],1,0.58,0.04999999999999999,0.04999999999999999,[-0.1],1,0.58,0.04999999999999999,0.04999999999999999,[-0.2],1,0.42,-0.04999999999999999,-0.04999999999999999,[-0.05],1,0.58,0.04999999999999999,0.04999999999999999
30,2927.0,[-0.1],0,0.42,-0.1,-0.1,[0.05],1,0.58,-2.7755575615628914e-17,-2.7755575615628914e-17,[0.05],1,0.58,-2.7755575615628914e-17,-2.7755575615628914e-17,[-0.05],1,0.7899999999999999,-0.15,-0.15,[0.05],0,0.21,0.04999999999999999,0.04999999999999999
31,2925.0,[-0.1],0,0.35,-0.05000000000000002,-0.05000000000000002,[0.],1,0.6499999999999999,-0.05000000000000002,-0.05000000000000002,[0.],1,0.6499999999999999,-0.05000000000000002,-0.05000000000000002,[-0.15],0,0.42,-0.1,-0.1,[0.05],0,0.21,0.04999999999999999,0.04999999999999999
32,2921.0,[-0.05],0,0.27999999999999997,0.04999999999999999,0.04999999999999999,[-0.05],1,0.72,-0.04999999999999999,-0.04999999999999999,[-0.05],1,0.6499999999999999,0.0,0.0,[-0.1],1,0.72,-0.04999999999999999,-0.04999999999999999,[0.05],1,0.58,0.04999999999999999,0.04999999999999999
33,2918.0,[0.05],1,0.58,0.09999999999999998,0.09999999999999998,[-0.05],1,0.72,0.0,0.0,[0.],1,0.72,0.0,0.0,[-0.05],0,0.42,0.0,0.0,[0.05],0,0.27999999999999997,0.09999999999999998,0.09999999999999998
34,2916.0,[0.1],0,0.21,0.14999999999999997,0.14999999999999997,[0.],1,0.72,-2.7755575615628914e-17,-2.7755575615628914e-17,[0.],1,0.7899999999999999,-0.05000000000000002,-0.05000000000000002,[0.],0,0.42,-2.7755575615628914e-17,-2.7755575615628914e-17,[0.1],0,0.27999999999999997,0.09999999999999995,0.09999999999999995
35,2913.0,[0.15],0,0.21,0.14999999999999997,0.14999999999999997,[0.],1,0.7899999999999999,-0.05000000000000002,-0.05000000000000002,[-0.05],1,0.7899999999999999,-0.05000000000000002,-0.05000000000000002,[0.],0,0.35,0.04999999999999996,0.04999999999999996,[0.1],1,0.58,0.09999999999999995,0.09999999999999995
36,2912.0,[0.15],0,0.21,0.09999999999999995,0.09999999999999995,[-0.05],0,0.48999999999999994,-0.10000000000000003,-0.10000000000000003,[-0.05],0,0.48999999999999994,-0.10000000000000003,-0.10000000000000003,[0.05],1,0.6499999999999999,-5.551115123125783e-17,-5.551115123125783e-17,[0.1],0,0.21,0.09999999999999995,0.09999999999999995
37,2909.0,[0.1],1,0.51,0.15,0.15,[-0.1],1,0.8599999999999999,-0.10000000000000003,-0.10000000000000003,[-0.1],0,0.48999999999999994,-0.04999999999999999,-0.04999999999999999,[0.],1,0.6499999999999999,0.04999999999999999,0.04999999999999999,[0.1],0,0.21,0.15,0.15
38,2908.0,[0.15],0,0.21,0.15,0.15,[-0.1],0,0.5599999999999999,-0.10000000000000003,-0.10000000000000003,[-0.05],0,0.48999999999999994,-0.04999999999999999,-0.04999999999999999,[0.05],1,0.6499999999999999,0.04999999999999999,0.04999999999999999,[0.15],0,0.21,0.15,0.15
39,2905.0,[0.15],0,0.13999999999999999,0.14999999999999994,0.14999999999999994,[-0.1],0,0.48999999999999994,-0.10000000000000003,-0.10000000000000003,[-0.05],1,0.7899999999999999,-0.10000000000000003,-0.10000000000000003,[0.05],1,0.72,-0.050000000000000044,-0.050000000000000044,[0.15],1,0.51,0.09999999999999995,0.09999999999999995
40,2903.0,[0.15],0,0.13999999999999999,0.09999999999999995,0.09999999999999995,[-0.1],1,0.7899999999999999,-0.15000000000000002,-0.15000000000000002,[-0.1],0,0.42,-0.10000000000000003,-0.10000000000000003,[-0.05],1,0.72,-0.10000000000000003,-0.10000000000000003,[0.1],0,0.21,0.04999999999999996,0.04999999999999996
41,2900.0,[0.1],0,0.13999999999999999,0.14999999999999994,0.14999999999999994,[-0.15],1,0.7899999999999999,-0.10000000000000003,-0.10000000000000003,[-0.1],1,0.72,-0.050000000000000044,-0.050000000000000044,[-0.1],1,0.7899999999999999,-0.10000000000000003,-0.10000000000000003,[0.05],0,0.21,0.09999999999999995,0.09999999999999995
42,2897.0,[0.15],1,0.51,0.04999999999999996,0.04999999999999996,[-0.1],1,0.7899999999999999,-0.15000000000000002,-0.15000000000000002,[-0.05],0,0.35,-0.050000000000000044,-0.050000000000000044,[-0.1],1,0.7899999999999999,-0.15000000000000002,-0.15000000000000002,[0.1],0,0.13999999999999999,0.09999999999999995,0.09999999999999995
43,2895.0,[0.05],1,0.51,2.7755575615628914e-17,2.7755575615628914e-17,[-0.15],0,0.42,-0.14999999999999997,-0.14999999999999997,[-0.05],0,0.27999999999999997,-0.04999999999999999,-0.04999999999999999,[-0.15],1,0.8599999999999999,-0.25,-0.25,[0.1],0,0.13999999999999999,0.05000000000000002,0.05000000000000002
44,2893.0,[0.],0,0.21,2.7755575615628914e-17,2.7755575615628914e-17,[-0.15],0,0.35,-0.09999999999999998,-0.09999999999999998,[-0.05],1,0.58,-0.04999999999999999,-0.04999999999999999,[-0.25],1,0.9299999999999999,-0.3,-0.3,[0.05],0,0.13999999999999999,0.05000000000000002,0.05000000000000002
45,2890.0,[2.77555756e-17],1,0.58,-0.04999999999999999,-0.04999999999999999,[-0.1],0,0.27999999999999997,-0.04999999999999999,-0.04999999999999999,[-0.05],0,0.21,2.7755575615628914e-17,2.7755575615628914e-17,[-0.3],1,1.0,-0.35,-0.35,[0.05],1,0.43999999999999995,0.05000000000000002,0.05000000000000002
46,2888.0,[-0.05],0,0.27999999999999997,2.7755575615628914e-17,2.7755575615628914e-17,[-0.05],0,0.27999999999999997,2.7755575615628914e-17,2.7755575615628914e-17,[0.],1,0.58,2.7755575615628914e-17,2.7755575615628914e-17,[-0.35],0,0.63,-0.24999999999999997,-0.24999999999999997,[0.05],1,0.51,0.050000000000000044,0.050000000000000044
47,2886.0,[0.],0,0.21,0.0,0.0,[0.],0,0.21,0.0,0.0,[0.],1,0.6499999999999999,-0.1,-0.1,[-0.25],1,0.9299999999999999,-0.30000000000000004,-0.30000000000000004,[0.05],0,0.21,0.0,0.0
48,2885.0,[0.],0,0.21,2.7755575615628914e-17,2.7755575615628914e-17,[0.],0,0.21,2.7755575615628914e-17,2.7755575615628914e-17,[-0.1],0,0.35,-0.09999999999999998,-0.09999999999999998,[-0.3],0,0.5599999999999999,-0.25,-0.25,[0.],1,0.58,-0.04999999999999999,-0.04999999999999999
49,2885.0,[-1.38777878e-17],0,0.21,-0.15000000000000002,-0.15000000000000002,[-1.38777878e-17],0,0.21,-0.15000000000000002,-0.15000000000000002,[-0.1],0,0.27999999999999997,-0.20000000000000004,-0.20000000000000004,[-0.25],0,0.48999999999999994,-0.35,-0.35,[-0.05],0,0.21,-0.15000000000000002,-0.15000000000000002
50,2884.0,[-0.15],0,0.21,-0.2,-0.2,[-0.15],1,0.51,-0.2,-0.2,[-0.2],0,0.27999999999999997,-0.25,-0.25,[-0.35],0,0.42,-0.35,-0.35,[-0.15],0,0.21,-0.2,-0.2
51,2880.0,[-0.2],1,0.58,-0.2,-0.2,[-0.2],1,0.51,-0.15,-0.15,[-0.25],0,0.21,-0.15,-0.15,[-0.35],1,0.72,-0.3,-0.3,[-0.2],1,0.58,-0.2,-0.2
