simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
3,4,0,737,0.0,500,1000,78.99999999999964,60.99999999999972,78.99999999999957,73.99999999999967,101.99999999999945,104.54999999999946,-568.9599999999995,-561.7599999999983,-568.9599999999991,-566.9599999999989,-578.1599999999986,-578.9999999999995,78.99999999999964,60.99999999999972,78.99999999999957,73.99999999999967,101.99999999999945,104.54999999999946
3,4,1,781,0.0,500,1000,90.99999999999963,76.99999999999964,93.54999999999978,104.9999999999996,66.99999999999974,65.99999999999976,-617.7599999999993,-612.1599999999992,-618.5999999999997,-623.3599999999996,-608.1599999999986,-607.7599999999995,90.99999999999963,76.99999999999964,93.54999999999978,104.9999999999996,66.99999999999974,65.99999999999976
3,4,2,1000,1.0,500,1000,89.99999999999967,78.99999999999969,79.99999999999963,100.99999999999962,81.99999999999967,66.99999999999983,-836.3999999999992,-831.9999999999993,-832.4,-840.7999999999994,-833.1999999999998,-827.1999999999996,89.99999999999967,78.99999999999969,79.99999999999963,100.99999999999962,81.99999999999967,66.99999999999983
3,4,3,658,0.0,500,1000,71.99999999999976,79.99999999999956,97.54999999999951,82.99999999999983,82.9999999999997,83.99999999999966,-487.1599999999988,-490.3599999999984,-497.199999999999,-491.55999999999887,-491.55999999999915,-491.95999999999873,71.99999999999976,79.99999999999956,97.54999999999951,82.99999999999983,82.9999999999997,83.99999999999966
3,4,4,688,0.0,500,1000,100.99999999999967,62.99999999999977,76.99999999999979,83.99999999999973,88.54999999999967,85.99999999999989,-528.7599999999993,-513.5599999999995,-519.1599999999995,-521.9599999999998,-523.5999999999995,-522.7599999999998,100.99999999999967,62.99999999999977,76.99999999999979,83.99999999999973,88.54999999999967,85.99999999999989
3,4,5,693,0.0,500,1000,89.99999999999969,92.54999999999961,72.99999999999969,74.99999999999967,82.9999999999995,85.99999999999962,-529.3599999999989,-530.1999999999989,-522.5599999999988,-523.3599999999988,-526.559999999999,-527.7599999999991,89.99999999999969,92.54999999999961,72.99999999999969,74.99999999999967,82.9999999999995,85.99999999999962
3,4,6,628,0.0,500,1000,82.99999999999989,72.99999999999973,75.99999999999962,79.99999999999967,91.99999999999979,95.54999999999959,-461.5599999999989,-457.5599999999993,-458.75999999999937,-460.3599999999993,-465.1599999999987,-466.3999999999993,82.99999999999989,72.99999999999973,75.99999999999962,79.99999999999967,91.99999999999979,95.54999999999959
3,4,7,906,0.0,500,1000,69.99999999999974,79.99999999999962,92.99999999999974,83.99999999999967,96.54999999999976,75.99999999999964,-734.3599999999997,-738.3600000000001,-743.56,-739.9599999999991,-744.8000000000004,-736.7599999999999,69.99999999999974,79.99999999999962,92.99999999999974,83.99999999999967,96.54999999999976,75.99999999999964
3,4,8,871,0.0,500,1000,65.9999999999998,82.99999999999947,89.99999999999946,87.5499999999997,86.9999999999996,85.99999999999963,-697.7599999999991,-704.5599999999986,-707.3599999999985,-706.1999999999985,-706.1599999999987,-705.7599999999995,65.9999999999998,82.99999999999947,89.99999999999946,87.5499999999997,86.9999999999996,85.99999999999963
3,4,9,542,0.0,500,1000,101.99999999999982,90.99999999999973,67.99999999999979,85.99999999999953,83.5499999999996,68.99999999999986,-383.1599999999993,-378.7599999999992,-369.5599999999993,-376.7599999999997,-375.5999999999995,-369.95999999999935,101.99999999999982,90.99999999999973,67.99999999999979,85.99999999999953,83.5499999999996,68.99999999999986
3,4,10,512,0.0,500,1000,87.9999999999999,85.5499999999999,92.9999999999997,91.9999999999998,66.99999999999974,73.99999999999967,-347.5599999999996,-346.3999999999996,-349.5599999999993,-349.15999999999923,-339.15999999999957,-341.9599999999995,87.9999999999999,85.5499999999999,92.9999999999997,91.9999999999998,66.99999999999974,73.99999999999967
3,4,11,706,0.0,500,1000,81.99999999999963,81.99999999999959,88.99999999999972,89.99999999999964,68.54999999999973,87.99999999999964,-539.1599999999996,-539.1599999999994,-541.9599999999996,-542.3599999999992,-533.5999999999992,-541.5599999999988,81.99999999999963,81.99999999999959,88.99999999999972,89.99999999999964,68.54999999999973,87.99999999999964
3,4,12,644,0.0,500,1000,94.9999999999997,83.99999999999967,86.99999999999957,74.54999999999974,83.9999999999996,74.99999999999986,-482.3599999999997,-477.95999999999935,-479.15999999999974,-473.9999999999993,-477.95999999999935,-474.3599999999992,94.9999999999997,83.99999999999967,86.99999999999957,74.54999999999974,83.9999999999996,74.99999999999986
