simulation_number,seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,observation_2,observation_3,observation_4,observation_5,action_0,action_1,action_2,action_3,action_4,action_5,personal_reward_0,personal_reward_1,personal_reward_2,personal_reward_3,personal_reward_4,personal_reward_5,empathic_reward_0,empathic_reward_1,empathic_reward_2,empathic_reward_3,empathic_reward_4,empathic_reward_5,total_reward_0,total_reward_1,total_reward_2,total_reward_3,total_reward_4,total_reward_5
8,8,0,0,498.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,1,0,0,1,0.0,0.0,0.55,0.0,0.0,0.55,-0.9199999999999999,-0.9199999999999999,-0.96,-0.9199999999999999,-0.9199999999999999,-0.96,-0.45999999999999996,-0.45999999999999996,-0.20499999999999996,-0.45999999999999996,-0.45999999999999996,-0.20499999999999996
8,8,0,1,498.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,0,0,0,0,0.0,0.0,0.05,0.0,0.0,0.05,-0.9199999999999999,-0.9199999999999999,-0.96,-0.9199999999999999,-0.9199999999999999,-0.96,-0.45999999999999996,-0.45999999999999996,-0.45499999999999996,-0.45999999999999996,-0.45999999999999996,-0.45499999999999996
8,8,0,2,495.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,0,0,0,1,0.55,0.55,0.05,0.0,0.0,0.6,-0.8400000000000001,-0.8400000000000001,-0.8400000000000001,-0.8,-0.8,-0.8800000000000001,-0.14500000000000002,-0.14500000000000002,-0.395,-0.4,-0.4,-0.14000000000000007
8,8,0,3,493.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,0,1,0,0,0.6,0.05,0.05,0.55,0.0,0.1,-0.8,-0.76,-0.76,-0.76,-0.72,-0.8,-0.10000000000000003,-0.355,-0.355,-0.10499999999999998,-0.36,-0.35000000000000003
8,8,0,4,490.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,0,0,0.65,0.6,0.6,0.05,0.0,0.1,-0.72,-0.6799999999999999,-0.6799999999999999,-0.64,-0.6000000000000001,-0.68,-0.034999999999999976,-0.03999999999999998,-0.03999999999999998,-0.295,-0.30000000000000004,-0.29000000000000004
8,8,0,5,488.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,0,0,1,0,0.7,0.1,0.1,0.05,0.55,0.1,-0.6799999999999999,-0.6000000000000001,-0.6000000000000001,-0.56,-0.56,-0.6,0.010000000000000009,-0.25000000000000006,-0.25000000000000006,-0.255,-0.0050000000000000044,-0.25
8,8,0,6,485.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,0,0,1,1,0.2,0.65,0.1,0.05,0.6,0.65,-0.5599999999999999,-0.52,-0.48,-0.43999999999999995,-0.48,-0.52,-0.17999999999999997,0.065,-0.19,-0.19499999999999998,0.06,0.065
8,8,0,7,483.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,0,1,0,0,0.2,0.7,0.1,0.6,0.1,0.15,-0.48,-0.48,-0.4,-0.4,-0.4,-0.43999999999999995,-0.13999999999999999,0.10999999999999999,-0.15000000000000002,0.09999999999999998,-0.15000000000000002,-0.14499999999999996
8,8,0,8,481.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,1,1,0,0,0.2,0.2,0.65,0.65,0.1,0.15,-0.4,-0.4,-0.36,-0.36,-0.32,-0.36,-0.1,-0.1,0.14500000000000002,0.14500000000000002,-0.11,-0.105
8,8,0,9,478.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,0,1,1,1,0.2,0.2,0.15,0.7,0.65,0.7,-0.27999999999999997,-0.27999999999999997,-0.23999999999999994,-0.27999999999999997,-0.23999999999999994,-0.27999999999999997,-0.03999999999999998,-0.03999999999999998,-0.04499999999999997,0.21,0.20500000000000004,0.21
8,8,0,10,476.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,1,0,0,1,0.2,0.2,0.65,0.2,0.15,0.7,-0.27999999999999997,-0.27999999999999997,-0.23999999999999994,-0.27999999999999997,-0.23999999999999994,-0.27999999999999997,-0.03999999999999998,-0.03999999999999998,0.20500000000000004,-0.03999999999999998,-0.04499999999999997,0.21
8,8,0,11,472.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,1,0,0.75,0.75,0.7,0.2,0.7,0.2,-0.15999999999999998,-0.15999999999999998,-0.11999999999999997,-0.11999999999999997,-0.11999999999999997,-0.11999999999999997,0.29500000000000004,0.29500000000000004,0.29,0.04000000000000002,0.29,0.04000000000000002
8,8,0,12,470.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,0,0,1,0,0.75,0.2,0.2,0.2,0.75,0.15,-0.19999999999999998,-0.15999999999999998,-0.15999999999999998,-0.15999999999999998,-0.19999999999999998,-0.11999999999999997,0.275,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.275,0.015000000000000013
8,8,0,13,466.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,1,1,0,1,0.2,0.75,0.75,0.7,0.25,0.7,-0.07999999999999999,-0.11999999999999997,-0.11999999999999997,-0.07999999999999999,-0.11999999999999997,-0.07999999999999999,0.06000000000000001,0.315,0.315,0.31,0.06500000000000002,0.31
8,8,0,14,462.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,0,1,0,1,0.7,0.75,0.2,0.75,0.25,0.75,-0.039999999999999994,-0.07999999999999999,-0.039999999999999994,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,0.32999999999999996,0.335,0.08000000000000002,0.335,0.085,0.335
