simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
1,1,0,1000,1.0,500,1000,78.99999999999956,91.99999999999929,88.99999999999942,85.99999999999929,74.99999999999953,77.99999999999966,-831.9999999999989,-837.1999999999991,-835.9999999999993,-834.7999999999993,-830.3999999999993,-831.6000000000001,-376.4999999999997,-372.59999999999985,-373.49999999999983,-374.4000000000001,-377.6999999999998,-376.7999999999996
1,1,1,1000,2.0,500,1000,88.99999999999937,84.9999999999995,78.99999999999952,69.99999999999974,89.99999999999952,84.9999999999994,-836.4000000000003,-834.7999999999995,-832.3999999999999,-828.7999999999996,-836.7999999999997,-834.8000000000002,-373.69999999999936,-374.8999999999993,-376.69999999999936,-379.3999999999991,-373.39999999999924,-374.8999999999992
1,1,2,1000,1.0,500,1000,83.99999999999942,75.99999999999946,83.99999999999933,85.99999999999946,83.99999999999939,84.99999999999955,-834.0000000000005,-830.8000000000002,-834.0000000000003,-834.7999999999993,-833.9999999999995,-834.3999999999999,-375.00000000000017,-377.40000000000026,-375.0000000000005,-374.4000000000002,-375.0000000000003,-374.70000000000016
1,1,3,1000,3.0,500,1000,82.99999999999945,90.99999999999936,74.99999999999956,78.99999999999952,92.99999999999943,75.99999999999946,-834.3999999999985,-837.5999999999989,-831.1999999999982,-832.7999999999987,-838.4000000000002,-831.5999999999979,-375.69999999999936,-373.29999999999916,-378.0999999999994,-376.8999999999992,-372.69999999999925,-377.7999999999995
1,1,4,1000,1.0,500,1000,74.99999999999974,80.99999999999939,79.99999999999962,91.99999999999926,80.99999999999952,89.99999999999956,-830.4000000000002,-832.8,-832.400000000001,-837.2000000000008,-832.7999999999995,-836.4000000000003,-377.70000000000033,-375.9000000000002,-376.2000000000002,-372.6000000000005,-375.9000000000003,-373.2000000000002
1,1,5,1000,1.0,500,1000,79.99999999999946,74.99999999999953,82.99999999999949,78.99999999999964,90.99999999999947,90.99999999999928,-832.3999999999997,-830.4000000000001,-833.5999999999999,-832.0,-836.7999999999997,-836.7999999999984,-376.19999999999993,-377.6999999999997,-375.2999999999998,-376.4999999999998,-372.89999999999986,-372.90000000000003
1,1,6,1000,0.0,500,1000,71.99999999999964,84.9999999999994,81.99999999999949,78.99999999999949,83.99999999999943,97.99999999999953,-828.7999999999995,-833.999999999999,-832.799999999999,-831.5999999999997,-833.5999999999999,-839.1999999999987,-378.4000000000001,-374.50000000000034,-375.40000000000015,-376.3000000000002,-374.8000000000001,-370.6000000000003
