simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
8,9,0,1000,1.0,500,1000,93.99999999999953,77.99999999999957,86.9999999999995,72.99999999999964,82.99999999999946,83.99999999999955,-837.9999999999998,-831.6,-835.1999999999989,-829.5999999999996,-833.6000000000001,-834.0000000000005,-371.99999999999994,-376.79999999999995,-374.1000000000001,-378.30000000000007,-375.29999999999984,-374.9999999999997
8,9,1,1000,2.0,500,1000,83.99999999999959,35.999999999999915,98.99999999999957,117.99999999999986,119.99999999999942,40.99999999999995,-834.4000000000001,-815.2000000000005,-840.4000000000005,-848.0000000000009,-848.8000000000003,-817.1999999999995,-375.20000000000056,-389.6000000000005,-370.70000000000016,-365.00000000000045,-364.40000000000026,-388.1000000000006
8,9,2,1000,1.0,500,1000,131.99999999999997,40.99999999999991,49.999999999999815,95.99999999999955,89.99999999999999,89.99999999999953,-853.2000000000005,-816.7999999999994,-820.399999999999,-838.7999999999995,-836.3999999999994,-836.4000000000002,-360.59999999999934,-387.8999999999997,-385.1999999999998,-371.39999999999947,-373.1999999999997,-373.19999999999965
8,9,3,835,0.0,500,1000,123.99999999999967,42.5499999999998,64.9999999999999,108.99999999999963,42.99999999999979,115.99999999999952,-684.9599999999983,-652.1999999999988,-661.3599999999985,-678.959999999998,-652.559999999998,-681.7599999999991,-280.4799999999997,-304.82499999999936,-298.17999999999944,-284.9799999999996,-304.77999999999923,-282.87999999999965
8,9,4,1000,1.0,500,1000,98.99999999999952,30.000000000000078,83.99999999999977,109.0,108.99999999999967,67.99999999999967,-839.9999999999993,-812.3999999999987,-833.9999999999997,-843.9999999999989,-843.9999999999993,-827.5999999999992,-370.49999999999955,-391.19999999999936,-374.9999999999996,-367.4999999999997,-367.49999999999966,-379.7999999999993
8,9,5,962,0.0,500,1000,110.84999999999948,46.5499999999998,64.99999999999977,73.99999999999972,89.99999999999966,112.99999999999966,-806.7599999999995,-780.9200000000001,-788.4799999999992,-792.0799999999997,-798.4799999999991,-807.6799999999997,-347.9550000000001,-367.1849999999999,-361.74000000000007,-359.04000000000013,-354.24000000000007,-347.34
8,9,6,771,0.0,500,1000,110.99999999999962,27.00000000000008,71.9999999999997,123.9999999999995,76.5499999999997,88.99999999999983,-615.7599999999994,-582.1599999999988,-600.1599999999995,-620.9599999999992,-601.7999999999987,-606.9599999999994,-252.3799999999993,-277.5799999999994,-264.0799999999995,-248.47999999999956,-262.62499999999943,-258.9799999999992
8,9,7,646,0.0,500,1000,118.99999999999977,25.00000000000005,82.99999999999967,128.54999999999973,98.99999999999967,44.99999999999987,-493.9599999999992,-456.3599999999999,-479.559999999999,-497.59999999999917,-485.95999999999896,-464.3599999999994,-187.4799999999999,-215.67999999999995,-198.2799999999999,-184.52500000000003,-193.47999999999993,-209.67999999999992
8,9,8,775,0.0,500,1000,135.00000000000009,26.000000000000103,114.99999999999987,105.54999999999963,52.999999999999794,64.99999999999987,-629.3599999999983,-585.7599999999995,-621.3599999999992,-617.3999999999992,-596.559999999999,-601.3599999999986,-247.17999999999924,-279.8799999999996,-253.17999999999924,-255.92499999999922,-271.77999999999923,-268.17999999999915
8,9,9,915,0.0,500,1000,106.99999999999962,42.999999999999844,139.0000000000007,103.54999999999986,42.99999999999987,63.99999999999969,-758.1599999999999,-732.5599999999996,-770.9599999999996,-756.5999999999997,-732.559999999999,-740.9599999999996,-325.5799999999996,-344.7799999999995,-315.9799999999998,-326.5249999999995,-344.7799999999997,-338.4799999999997
8,9,10,1000,1.0,500,1000,120.99999999999969,22.000000000000057,111.9999999999997,81.99999999999963,92.99999999999967,68.99999999999979,-848.7999999999995,-809.2000000000007,-845.2000000000005,-833.2000000000005,-837.5999999999999,-828.0000000000007,-363.89999999999986,-393.6000000000006,-366.59999999999985,-375.60000000000025,-372.30000000000035,-379.50000000000045
8,9,11,1000,1.0,500,1000,132.00000000000023,65.9999999999997,76.99999999999983,98.99999999999976,57.99999999999982,66.99999999999962,-853.1999999999997,-826.799999999999,-831.1999999999995,-839.9999999999989,-823.5999999999987,-827.1999999999987,-360.5999999999995,-380.39999999999964,-377.09999999999957,-370.49999999999955,-382.7999999999993,-380.0999999999997
8,9,12,809,0.0,500,1000,129.00000000000009,98.99999999999966,65.99999999999979,118.54999999999956,41.99999999999976,44.99999999999985,-660.9599999999982,-648.9599999999989,-635.7599999999995,-656.5999999999983,-626.1599999999985,-627.359999999999,-265.9799999999993,-274.97999999999905,-284.87999999999937,-269.02499999999924,-292.0799999999992,-291.1799999999993
8,9,13,1000,1.0,500,1000,80.99999999999964,80.99999999999964,69.9999999999998,142.0000000000012,57.999999999999766,66.99999999999972,-832.7999999999995,-832.7999999999995,-828.3999999999992,-857.1999999999998,-823.5999999999992,-827.2000000000003,-375.8999999999995,-375.8999999999994,-379.1999999999997,-357.5999999999995,-382.7999999999996,-380.0999999999997
8,9,14,993,0.0,500,1000,122.99999999999956,64.54999999999983,80.99999999999969,140.00000000000065,50.99999999999981,39.99999999999986,-842.5600000000001,-819.0000000000002,-825.7600000000003,-849.3599999999999,-813.7600000000001,-809.3600000000008,-359.78000000000037,-377.2250000000001,-372.3800000000002,-354.6800000000001,-381.3800000000001,-384.6800000000003
8,9,15,985,0.0,500,1000,138.0000000000003,106.99999999999982,49.99999999999986,75.99999999999959,69.54999999999976,58.999999999999936,-840.56,-828.1600000000001,-805.3599999999994,-815.7600000000004,-812.9999999999994,-808.9600000000005,-351.27999999999986,-360.5799999999997,-377.67999999999984,-369.87999999999977,-371.7249999999999,-374.97999999999956
8,9,16,1000,2.0,500,1000,114.99999999999937,94.9999999999998,66.99999999999977,110.99999999999969,50.99999999999986,58.99999999999982,-846.8000000000015,-838.8000000000012,-827.6000000000013,-845.2000000000019,-821.2000000000019,-824.4000000000015,-365.90000000000015,-371.90000000000066,-380.3000000000007,-367.1000000000005,-385.10000000000076,-382.70000000000067
