seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_empathic_reward_0,total_empathic_reward_1,total_combined_reward_0,total_combined_reward_1
0,0,500,4.0,100,500,44.649999999999864,-398.00000000000057,44.649999999999864,50.99999999999971,-411.4000000000004,50.99999999999971
0,1,257,0.0,100,500,48.99999999999996,-156.79999999999995,48.99999999999996,50.54999999999991,-159.00000000000009,50.54999999999991
0,2,421,0.0,100,500,63.54999999999995,-349.00000000000017,63.54999999999995,35.9999999999999,-294.7999999999999,35.9999999999999
0,3,500,1.0,100,500,45.99999999999988,-394.00000000000006,45.99999999999988,52.999999999999865,-407.9999999999998,52.999999999999865
0,4,415,0.0,100,500,51.54999999999977,-319.0000000000002,51.54999999999977,47.999999999999865,-312.8000000000002,47.999999999999865
0,5,306,0.0,100,500,51.99999999999982,-211.7999999999999,51.99999999999982,47.5499999999999,-201.99999999999983,47.5499999999999
0,6,423,0.0,100,500,63.54999999999984,-351.00000000000045,63.54999999999984,35.999999999999915,-296.8000000000001,35.999999999999915
0,7,295,0.0,100,500,41.5499999999999,-178.99999999999991,41.5499999999999,57.999999999999865,-212.80000000000018,57.999999999999865
0,8,364,0.0,100,500,59.54999999999993,-284.0000000000001,59.54999999999993,39.999999999999865,-245.8,39.999999999999865
0,9,375,0.0,100,500,49.99999999999987,-276.8000000000001,49.99999999999987,49.549999999999905,-275.0,49.549999999999905
0,10,345,0.0,100,500,54.99999999999993,-256.80000000000024,54.99999999999993,44.54999999999988,-234.99999999999991,44.54999999999988
0,11,292,0.0,100,500,53.549999999999706,-200.0,53.549999999999706,45.999999999999865,-185.80000000000018,45.999999999999865
0,12,234,0.0,100,500,39.99999999999993,-115.79999999999988,39.99999999999993,59.54999999999992,-153.99999999999997,59.54999999999992
0,13,429,0.0,100,500,64.54999999999978,-359.00000000000006,64.54999999999978,34.99999999999999,-300.79999999999995,34.99999999999999
0,14,200,0.0,100,500,49.999999999999936,-101.79999999999997,49.999999999999936,49.54999999999995,-99.99999999999994,49.54999999999995
