simulation_number,seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,observation_2,action_0,action_1,action_2,personal_reward_0,personal_reward_1,personal_reward_2,empathic_reward_0,empathic_reward_1,empathic_reward_2,total_reward_0,total_reward_1,total_reward_2
0,0,0,33,60.0,100,500,[-0.5],1,0.2,-0.6000000000000001,-0.20000000000000004,[-0.4],1,0.15,-0.5,-0.175,[-0.3],0,0.05,-0.3,-0.125
0,0,0,34,58.0,100,500,[-0.6],0,0.15,-0.39999999999999997,-0.12499999999999999,[-0.5],1,0.7,-0.5,0.09999999999999998,[-0.3],1,0.6,-0.3,0.15
0,0,0,35,56.0,100,500,[-0.4],1,0.7,-0.3,0.19999999999999998,[-0.5],1,0.75,-0.39999999999999997,0.17500000000000002,[-0.3],0,0.1,-0.09999999999999998,1.3877787807814457e-17
0,0,0,36,56.0,100,500,[-0.3],1,0.15,-0.3,-0.075,[-0.4],0,0.25,-0.5,-0.125,[-0.1],0,0.1,-0.2,-0.05
0,0,0,37,54.0,100,500,[-0.3],1,0.7,-0.2,0.24999999999999997,[-0.5],1,0.8,-0.39999999999999997,0.20000000000000004,[-0.2],0,0.1,0.0,0.05
0,0,0,38,53.0,100,500,[-0.2],1,0.75,-0.3,0.225,[-0.4],0,0.25,-0.3,-0.024999999999999994,[0.],0,0.1,0.0,0.05
0,0,0,39,50.0,100,500,[-0.3],1,0.8,-0.10000000000000003,0.35,[-0.3],1,0.8,-0.10000000000000003,0.35,[0.],1,0.65,0.19999999999999996,0.425
0,0,0,40,50.0,100,500,[-0.1],0,0.25,-0.2,0.024999999999999994,[-0.1],1,0.25,-0.2,0.024999999999999994,[0.2],0,0.15,0.0,0.075
0,0,0,41,50.0,100,500,[-0.2],0,0.2,-0.3,-0.04999999999999999,[-0.2],0,0.25,-0.39999999999999997,-0.07499999999999998,[0.],0,0.1,-0.09999999999999998,1.3877787807814457e-17
0,0,0,42,49.0,100,500,[-0.3],0,0.2,-0.3,-0.04999999999999999,[-0.4],1,0.75,-0.39999999999999997,0.17500000000000002,[-0.1],0,0.1,-0.09999999999999998,1.3877787807814457e-17
0,0,0,43,48.0,100,500,[-0.3],1,0.75,-0.3,0.225,[-0.4],1,0.25,-0.3,-0.024999999999999994,[-0.1],1,0.1,0.0,0.05
0,0,0,44,48.0,100,500,[-0.3],0,0.25,-0.5,-0.125,[-0.3],0,0.2,-0.4,-0.1,[0.],1,0.05,-0.09999999999999998,-0.024999999999999988
0,0,0,45,48.0,100,500,[-0.5],1,0.2,-0.6000000000000001,-0.20000000000000004,[-0.4],1,0.15,-0.5,-0.175,[-0.1],1,0.05,-0.3,-0.125
0,0,0,46,48.0,100,500,[-0.6],1,0.2,-0.6000000000000001,-0.20000000000000004,[-0.5],0,0.15,-0.5,-0.175,[-0.3],0,0.05,-0.3,-0.125
0,0,0,47,47.0,100,500,[-0.6],1,0.7,-0.7,0.0,[-0.5],1,0.1,-0.5,-0.2,[-0.3],1,0.05,-0.39999999999999997,-0.175
0,0,0,48,46.0,100,500,[-0.7],1,0.7,-0.7,0.0,[-0.5],0,0.1,-0.5,-0.2,[-0.4],1,0.05,-0.39999999999999997,-0.175
0,0,0,49,45.0,100,500,[-0.7],1,0.7,-0.9,-0.10000000000000003,[-0.5],0,0.05,-0.6,-0.27499999999999997,[-0.4],1,0.0,-0.5,-0.25
0,0,0,50,45.0,100,500,[-0.9],0,0.2,-0.9,-0.35,[-0.6],0,0.05,-0.6,-0.27499999999999997,[-0.5],1,0.0,-0.5,-0.25
0,0,0,51,44.0,100,500,[-0.9],1,0.2,-0.8,-0.30000000000000004,[-0.6],0,0.05,-0.5,-0.225,[-0.5],1,0.55,-0.5,0.025000000000000022
0,0,0,52,42.0,100,500,[-0.8],1,0.75,-0.8,-0.025000000000000022,[-0.5],1,0.0,-0.3,-0.15,[-0.5],1,0.6,-0.5,0.04999999999999999
0,0,0,53,41.0,100,500,[-0.8],1,0.75,-0.8,-0.025000000000000022,[-0.3],0,0.0,-0.3,-0.15,[-0.5],1,0.1,-0.5,-0.2
0,0,0,54,41.0,100,500,[-0.8],0,0.25,-0.8,-0.275,[-0.3],1,0.0,-0.3,-0.15,[-0.5],0,0.1,-0.5,-0.2
0,0,0,55,41.0,100,500,[-0.8],1,0.25,-0.8,-0.275,[-0.3],0,0.0,-0.3,-0.15,[-0.5],1,0.1,-0.5,-0.2
0,0,0,56,41.0,100,500,[-0.8],1,0.25,-0.8,-0.275,[-0.3],0,0.0,-0.3,-0.15,[-0.5],0,0.1,-0.5,-0.2
0,0,0,57,40.0,100,500,[-0.8],1,0.75,-0.8,-0.025000000000000022,[-0.3],0,0.0,-0.3,-0.15,[-0.5],0,0.1,-0.5,-0.2
0,0,0,58,38.0,100,500,[-0.8],1,0.75,-0.7,0.025000000000000022,[-0.3],1,0.55,-0.3,0.12500000000000003,[-0.5],0,0.1,-0.4,-0.15000000000000002
0,0,0,59,38.0,100,500,[-0.7],1,0.2,-0.7,-0.24999999999999997,[-0.3],1,0.05,-0.39999999999999997,-0.175,[-0.4],0,0.1,-0.5,-0.2
0,0,0,60,37.0,100,500,[-0.7],0,0.2,-0.6,-0.19999999999999998,[-0.4],1,0.6,-0.39999999999999997,0.1,[-0.5],0,0.1,-0.39999999999999997,-0.14999999999999997
0,0,0,61,37.0,100,500,[-0.6],1,0.2,-0.7,-0.24999999999999997,[-0.4],1,0.1,-0.5,-0.2,[-0.4],0,0.05,-0.39999999999999997,-0.175
0,0,0,62,36.0,100,500,[-0.7],1,0.15,-0.7,-0.27499999999999997,[-0.5],0,0.1,-0.6000000000000001,-0.25000000000000006,[-0.4],1,0.55,-0.5,0.025000000000000022
0,0,0,63,36.0,100,500,[-0.7],0,0.1,-0.7,-0.3,[-0.6],1,0.1,-0.7,-0.3,[-0.5],0,0.05,-0.6,-0.27499999999999997
0,0,0,64,35.0,100,500,[-0.7],1,0.65,-0.7,-0.024999999999999967,[-0.7],1,0.1,-0.6000000000000001,-0.25000000000000006,[-0.6],0,0.05,-0.5,-0.225
0,0,0,65,35.0,100,500,[-0.7],1,0.15,-0.7,-0.27499999999999997,[-0.6],0,0.1,-0.6000000000000001,-0.25000000000000006,[-0.5],0,0.05,-0.5,-0.225
0,0,0,66,35.0,100,500,[-0.7],1,0.15,-0.7,-0.27499999999999997,[-0.6],0,0.1,-0.6000000000000001,-0.25000000000000006,[-0.5],0,0.05,-0.5,-0.225
0,0,0,67,35.0,100,500,[-0.7],1,0.1,-0.7,-0.3,[-0.6],0,0.1,-0.7,-0.3,[-0.5],1,0.05,-0.6,-0.27499999999999997
0,0,0,68,34.0,100,500,[-0.7],0,0.05,-0.7,-0.32499999999999996,[-0.7],0,0.05,-0.7,-0.32499999999999996,[-0.6],1,0.6,-0.8,-0.10000000000000003
0,0,0,69,33.0,100,500,[-0.7],1,0.6,-0.7,-0.04999999999999999,[-0.7],1,0.05,-0.6,-0.27499999999999997,[-0.8],0,0.1,-0.7,-0.3
0,0,0,70,33.0,100,500,[-0.7],0,0.1,-0.8,-0.35000000000000003,[-0.6],1,0.0,-0.6,-0.3,[-0.7],1,0.1,-0.8,-0.35000000000000003
0,0,0,71,33.0,100,500,[-0.8],0,0.1,-0.8,-0.35000000000000003,[-0.6],1,0.0,-0.6,-0.3,[-0.8],0,0.1,-0.8,-0.35000000000000003
0,0,0,72,32.0,100,500,[-0.8],0,0.1,-0.8,-0.35000000000000003,[-0.6],1,0.0,-0.6,-0.3,[-0.8],1,0.6,-0.8,-0.10000000000000003
0,0,0,73,31.0,100,500,[-0.8],1,0.65,-0.8,-0.07500000000000001,[-0.6],1,0.0,-0.5,-0.25,[-0.8],0,0.1,-0.7,-0.3
0,0,0,74,30.0,100,500,[-0.8],0,0.1,-0.7,-0.3,[-0.5],1,0.55,-0.6,-0.024999999999999967,[-0.7],1,0.1,-0.7,-0.3
0,0,0,75,30.0,100,500,[-0.7],0,0.1,-0.7,-0.3,[-0.6],1,0.05,-0.6,-0.27499999999999997,[-0.7],0,0.1,-0.7,-0.3
0,0,0,76,29.0,100,500,[-0.7],0,0.1,-0.6000000000000001,-0.25000000000000006,[-0.6],1,0.05,-0.5,-0.225,[-0.7],1,0.65,-0.7,-0.024999999999999967
0,0,0,77,29.0,100,500,[-0.6],0,0.1,-0.6000000000000001,-0.25000000000000006,[-0.5],1,0.05,-0.5,-0.225,[-0.7],0,0.15,-0.7,-0.27499999999999997
0,0,0,78,29.0,100,500,[-0.6],1,0.1,-0.7,-0.3,[-0.5],0,0.05,-0.6,-0.27499999999999997,[-0.7],0,0.1,-0.7,-0.3
0,0,0,79,28.0,100,500,[-0.7],1,0.05,-0.6,-0.27499999999999997,[-0.6],1,0.6,-0.7,-0.04999999999999999,[-0.7],0,0.1,-0.7,-0.3
0,0,0,80,27.0,100,500,[-0.6],0,0.05,-0.5,-0.225,[-0.7],1,0.65,-0.7,-0.024999999999999967,[-0.7],0,0.1,-0.6000000000000001,-0.25000000000000006
0,0,0,81,27.0,100,500,[-0.5],0,0.05,-0.5,-0.225,[-0.7],1,0.15,-0.7,-0.27499999999999997,[-0.6],0,0.1,-0.6000000000000001,-0.25000000000000006
0,0,0,82,26.0,100,500,[-0.5],1,0.6,-0.6000000000000001,-5.551115123125783e-17,[-0.7],1,0.15,-0.7,-0.27499999999999997,[-0.6],1,0.05,-0.5,-0.225
0,0,0,83,25.0,100,500,[-0.6],0,0.05,-0.5,-0.225,[-0.7],1,0.7,-0.8,-0.050000000000000044,[-0.5],0,0.05,-0.5,-0.225
0,0,0,84,24.0,100,500,[-0.5],0,0.05,-0.5,-0.225,[-0.8],1,0.7,-0.8,-0.050000000000000044,[-0.5],1,0.05,-0.5,-0.225
0,0,0,85,24.0,100,500,[-0.5],1,0.05,-0.5,-0.225,[-0.8],1,0.2,-0.8,-0.30000000000000004,[-0.5],1,0.05,-0.5,-0.225
0,0,0,86,23.0,100,500,[-0.5],1,0.05,-0.5,-0.225,[-0.8],1,0.75,-0.9,-0.07500000000000001,[-0.5],0,0.0,-0.4,-0.2
0,0,0,87,23.0,100,500,[-0.5],1,0.05,-0.5,-0.225,[-0.9],0,0.25,-0.9,-0.325,[-0.4],1,0.0,-0.4,-0.2
0,0,0,88,22.0,100,500,[-0.5],1,0.05,-0.4,-0.17500000000000002,[-0.9],1,0.8,-0.9,-0.04999999999999999,[-0.4],1,0.0,-0.30000000000000004,-0.15000000000000002
0,0,0,89,22.0,100,500,[-0.4],1,0.05,-0.5,-0.225,[-0.9],1,0.25,-0.9,-0.325,[-0.3],0,0.0,-0.4,-0.2
0,0,0,90,21.0,100,500,[-0.5],1,0.05,-0.5,-0.225,[-0.9],1,0.75,-0.9,-0.07500000000000001,[-0.4],1,0.0,-0.4,-0.2
0,0,0,91,21.0,100,500,[-0.5],0,0.05,-0.5,-0.225,[-0.9],0,0.25,-0.9,-0.325,[-0.4],1,0.0,-0.4,-0.2
0,0,0,92,20.0,100,500,[-0.5],1,0.55,-0.5,0.025000000000000022,[-0.9],1,0.25,-0.9,-0.325,[-0.4],0,0.0,-0.4,-0.2
0,0,0,93,18.0,100,500,[-0.5],1,0.6,-0.5,0.04999999999999999,[-0.9],1,0.75,-0.8,-0.025000000000000022,[-0.4],1,0.0,-0.3,-0.15
