simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2
0,0,0,333,0.0,100,500,39.99999999999985,-273.9000000000003,-116.95000000000006,35.54999999999994,-269.00000000000034,-116.7250000000001,24.000000000000057,-257.9000000000003,-116.9500000000001
0,0,1,234,0.0,100,500,42.54999999999989,-177.0000000000002,-67.22500000000004,40.999999999999815,-175.9000000000002,-67.45000000000006,16.00000000000002,-150.90000000000006,-67.45000000000006
