simulation_number,seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,observation_2,observation_3,observation_4,observation_5,action_0,action_1,action_2,action_3,action_4,action_5,personal_reward_0,personal_reward_1,personal_reward_2,personal_reward_3,personal_reward_4,personal_reward_5,empathic_reward_0,empathic_reward_1,empathic_reward_2,empathic_reward_3,empathic_reward_4,empathic_reward_5,total_reward_0,total_reward_1,total_reward_2,total_reward_3,total_reward_4,total_reward_5
2,2,0,0,497.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,1,1,0,0,0.55,0.0,0.55,0.55,0.0,0.0,-0.9199999999999999,-0.8800000000000001,-0.9199999999999999,-0.9199999999999999,-0.8800000000000001,-0.8800000000000001,-0.18499999999999994,-0.44000000000000006,-0.18499999999999994,-0.18499999999999994,-0.44000000000000006,-0.44000000000000006
2,2,0,1,496.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,0,0,0,0,0.6,0.0,0.05,0.05,0.0,0.0,-0.9199999999999999,-0.8400000000000001,-0.8800000000000001,-0.8800000000000001,-0.8400000000000001,-0.8400000000000001,-0.15999999999999998,-0.42000000000000004,-0.41500000000000004,-0.41500000000000004,-0.42000000000000004,-0.42000000000000004
2,2,0,2,492.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,1,1,0,1,0.1,0.55,0.6,0.6,0.0,0.55,-0.76,-0.72,-0.76,-0.76,-0.68,-0.72,-0.33,-0.08499999999999996,-0.08000000000000002,-0.08000000000000002,-0.34,-0.08499999999999996
2,2,0,3,488.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,1,1,0,1,0.65,0.05,0.65,0.65,0.0,0.6,-0.64,-0.56,-0.64,-0.64,-0.52,-0.6,0.0050000000000000044,-0.255,0.0050000000000000044,0.0050000000000000044,-0.26,0.0
2,2,0,4,486.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,1,0,0,0,0.7,0.05,0.7,0.15,0.0,0.1,-0.6,-0.48,-0.6,-0.56,-0.44000000000000006,-0.52,0.04999999999999999,-0.215,0.04999999999999999,-0.20500000000000002,-0.22000000000000003,-0.21000000000000002
2,2,0,5,484.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,0,0,1,0,0.2,0.6,0.2,0.15,0.55,0.1,-0.52,-0.44000000000000006,-0.52,-0.48,-0.4,-0.44000000000000006,-0.16,0.07999999999999996,-0.16,-0.16499999999999998,0.07500000000000001,-0.17000000000000004
2,2,0,6,482.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,1,0,1,0,0.2,0.1,0.75,0.15,0.6,0.1,-0.44000000000000006,-0.36,-0.48,-0.4,-0.36,-0.36,-0.12000000000000002,-0.13,0.135,-0.125,0.12,-0.13
2,2,0,7,478.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,1,0,0,0.75,0.65,0.8,0.7,0.1,0.1,-0.32,-0.24,-0.36,-0.27999999999999997,-0.2,-0.2,0.215,0.20500000000000002,0.22000000000000003,0.21,-0.05,-0.05
2,2,0,8,477.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,0,1,1,0,0.25,0.15,0.3,0.2,0.65,0.1,-0.27999999999999997,-0.2,-0.32,-0.24000000000000005,-0.2,-0.16,-0.014999999999999986,-0.02500000000000001,-0.010000000000000009,-0.020000000000000018,0.225,-0.03
2,2,0,9,476.0,500,10,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,0,0,0,1,0.25,0.15,0.3,0.2,0.15,0.65,-0.24000000000000005,-0.16,-0.27999999999999997,-0.2,-0.16,-0.16,0.004999999999999977,-0.0050000000000000044,0.010000000000000009,0.0,-0.0050000000000000044,0.245
2,2,1,0,497.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],1,1,0,0,0,1,0.55,0.55,0.0,0.0,0.0,0.55,-0.9199999999999999,-0.9199999999999999,-0.8800000000000001,-0.8800000000000001,-0.8800000000000001,-0.9199999999999999,-0.18499999999999994,-0.18499999999999994,-0.44000000000000006,-0.44000000000000006,-0.44000000000000006,-0.18499999999999994
2,2,1,1,493.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],1,0,1,1,1,0,0.6,0.05,0.55,0.55,0.55,0.05,-0.8,-0.76,-0.76,-0.76,-0.76,-0.76,-0.10000000000000003,-0.355,-0.10499999999999998,-0.10499999999999998,-0.10499999999999998,-0.355
2,2,1,2,493.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],0,0,0,1,0,0,0.1,0.05,0.05,0.05,0.05,0.05,-0.8,-0.76,-0.76,-0.76,-0.76,-0.76,-0.35000000000000003,-0.355,-0.355,-0.355,-0.355,-0.355
2,2,1,3,492.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],1,0,0,0,0,0,0.65,0.05,0.05,0.05,0.05,0.05,-0.8,-0.72,-0.72,-0.72,-0.72,-0.72,-0.07500000000000001,-0.33499999999999996,-0.33499999999999996,-0.33499999999999996,-0.33499999999999996,-0.33499999999999996
2,2,1,4,489.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],1,0,1,0,1,0,0.7,0.05,0.6,0.05,0.6,0.05,-0.7200000000000001,-0.6,-0.64,-0.6,-0.64,-0.6000000000000001,-0.010000000000000064,-0.27499999999999997,-0.020000000000000018,-0.27499999999999997,-0.020000000000000018,-0.275
2,2,1,5,487.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],0,0,1,1,0,0,0.2,0.05,0.65,0.6,0.1,0.05,-0.64,-0.5199999999999999,-0.6,-0.5599999999999999,-0.5599999999999999,-0.52,-0.22,-0.23499999999999996,0.025000000000000022,0.020000000000000018,-0.22999999999999998,-0.23500000000000001
2,2,1,6,483.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],1,1,0,1,1,1,0.75,0.6,0.15,0.65,0.65,0.05,-0.5199999999999999,-0.4,-0.44000000000000006,-0.44000000000000006,-0.44000000000000006,-0.36,0.11500000000000005,0.09999999999999998,-0.14500000000000002,0.10499999999999998,0.10499999999999998,-0.155
2,2,1,7,479.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],0,0,1,1,1,1,0.25,0.1,0.7,0.7,0.7,0.6,-0.36,-0.23999999999999994,-0.31999999999999995,-0.31999999999999995,-0.31999999999999995,-0.23999999999999994,-0.05499999999999999,-0.06999999999999997,0.19,0.19,0.19,0.18000000000000002
2,2,1,8,476.0,500,10,[-0.24],[-0.16],[-0.28],[-0.2],[-0.16],[-0.16],1,1,0,0,0,1,0.8,0.65,0.2,0.2,0.2,0.65,-0.27999999999999997,-0.15999999999999998,-0.2,-0.2,-0.2,-0.15999999999999998,0.26,0.24500000000000002,0.0,0.0,0.0,0.24500000000000002
