seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_empathic_reward_0,total_empathic_reward_1,total_combined_reward_0,total_combined_reward_1
1,0,314,0.0,100,500,55.549999999999926,-226.00000000000026,55.549999999999926,43.99999999999988,-203.7999999999999,43.99999999999988
1,1,325,0.0,100,500,52.54999999999988,-230.99999999999986,52.54999999999988,46.99999999999984,-220.80000000000007,46.99999999999984
1,2,284,0.0,100,500,49.999999999999865,-185.80000000000015,49.999999999999865,49.549999999999834,-184.0,49.549999999999834
1,3,283,0.0,100,500,43.54999999999984,-170.99999999999986,43.54999999999984,55.99999999999991,-196.79999999999984,55.99999999999991
1,4,218,0.0,100,500,53.54999999999989,-125.99999999999994,53.54999999999989,45.99999999999994,-111.79999999999993,45.99999999999994
1,5,233,0.0,100,500,56.999999999999886,-148.80000000000007,56.999999999999886,42.549999999999926,-118.99999999999994,42.549999999999926
1,6,446,0.0,100,500,52.54999999999985,-352.0,52.54999999999985,46.999999999999915,-341.8,46.999999999999915
1,7,377,0.0,100,500,52.99999999999989,-284.7999999999999,52.99999999999989,46.54999999999995,-271.00000000000006,46.54999999999995
1,8,362,0.0,100,500,57.99999999999984,-279.8000000000001,57.99999999999984,41.54999999999988,-246.00000000000003,41.54999999999988
1,9,261,0.0,100,500,45.54999999999993,-153.00000000000009,45.54999999999993,53.99999999999991,-170.79999999999995,53.99999999999991
1,10,300,0.0,100,500,53.9999999999998,-209.8,53.9999999999998,45.549999999999905,-192.00000000000014,45.549999999999905
1,11,299,0.0,100,500,54.0,-208.79999999999998,54.0,45.54999999999992,-191.0,45.54999999999992
1,12,340,0.0,100,500,47.549999999999905,-236.00000000000003,47.549999999999905,51.9999999999999,-245.79999999999987,51.9999999999999
1,13,312,0.0,100,500,59.5499999999998,-231.99999999999997,59.5499999999998,39.99999999999992,-193.80000000000007,39.99999999999992
1,14,306,0.0,100,500,43.549999999999905,-194.0,43.549999999999905,55.99999999999986,-219.80000000000007,55.99999999999986
