step,resource,emotion_0,emotion_1,emotion_2,emotion_3,emotion_4,reward_0,reward_1,reward_2,reward_3,reward_4,action_0,action_1,action_2,action_3,action_4
0,98.0,0.0,0.0,0.0,0.0,0.0,0.25,1.625,0.25,0.25,1.625,0,1,0,0,1
1,93.0,0.4,0.4,0.4,0.4,0.4,1.8125,1.90625,1.8125,1.8125,1.90625,1,1,1,1,1
2,91.0,0.85,0.85,0.85,0.85,0.85,1.625,0.4375,0.37499999999999994,0.37499999999999994,1.6875,1,0,0,0,1
3,89.0,0.5,0.5,0.5,0.5,0.5,0.390625,0.390625,1.578125,1.578125,0.4375,0,0,1,1,0
4,86.0,0.475,0.475,0.475,0.475,0.475,0.4375,1.6625,1.6625,1.6625,0.475,0,1,1,1,0
5,82.0,0.58,0.58,0.58,0.58,0.58,1.71875,0.53125,1.75,1.75,1.75,1,0,1,1,1
6,77.0,0.7,0.7,0.7,0.7,0.7,1.8125,1.8125,1.8392857142857144,1.8392857142857144,1.8392857142857144,1,1,1,1,1
7,74.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286,1.6953125,1.6953125,1.71875,0.5078125,0.5078125,1,1,1,0,0
8,71.0,0.625,0.625,0.625,0.625,0.625,1.7013888888888888,1.7013888888888888,1.722222222222222,0.4930555555555555,0.4930555555555555,1,1,1,0,0
9,68.0,0.6222222222222221,0.6222222222222221,0.6222222222222221,0.6222222222222221,0.6222222222222221,0.5,1.70625,1.725,0.48124999999999996,1.6875,0,1,1,0,1
10,66.0,0.6199999999999999,0.6199999999999999,0.6199999999999999,0.6199999999999999,0.6199999999999999,0.4204545454545454,1.6420454545454546,0.45454545454545453,0.40340909090909094,1.625,0,1,0,0,1
11,64.0,0.509090909090909,0.509090909090909,0.509090909090909,0.509090909090909,0.509090909090909,0.40625,1.640625,1.640625,0.390625,0.421875,0,1,1,0,0
12,63.0,0.5,0.5,0.5,0.5,0.5,1.5288461538461537,0.3701923076923077,0.3701923076923077,0.3125,0.34134615384615385,1,0,0,0,0
13,61.0,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,1.59375,0.4196428571428572,0.4196428571428572,1.5669642857142856,0.39285714285714285,1,0,0,1,0
14,59.0,0.47857142857142854,0.47857142857142854,0.47857142857142854,0.47857142857142854,0.47857142857142854,0.39583333333333326,0.4083333333333333,1.6083333333333334,0.37083333333333335,1.5833333333333333,0,0,1,0,1
15,54.0,0.4733333333333333,0.4733333333333333,0.4733333333333333,0.4733333333333333,0.4733333333333333,1.78515625,1.796875,1.80859375,1.76171875,1.78515625,1,1,1,1,1
16,52.0,0.7875,0.7875,0.7875,0.7875,0.7875,1.5992647058823528,1.6102941176470589,0.4227941176470589,0.3786764705882353,0.4007352941176471,1,1,0,0,0
17,50.0,0.48235294117647054,0.48235294117647054,0.48235294117647054,0.48235294117647054,0.48235294117647054,1.6006944444444444,0.4131944444444445,0.4131944444444445,1.5694444444444444,0.3923611111111111,1,0,0,1,0
18,46.0,0.47777777777777775,0.47777777777777775,0.47777777777777775,0.47777777777777775,0.47777777777777775,1.7335526315789473,1.7335526315789473,0.5361842105263157,1.7039473684210527,1.713815789473684,1,1,0,1,1
19,43.0,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.478125,0.478125,1.665625,1.646875,1.65625,0,0,1,1,1
20,42.0,0.585,0.585,0.585,0.585,0.585,0.34226190476190477,0.34226190476190477,1.5386904761904763,0.32440476190476186,0.33333333333333337,0,0,1,0,0
21,39.0,0.3761904761904762,0.3761904761904762,0.3761904761904762,0.3761904761904762,0.3761904761904762,0.46306818181818177,1.6590909090909092,1.6676136363636362,0.4460227272727273,1.6505681818181817,0,1,1,0,1
22,35.0,0.5772727272727272,0.5772727272727272,0.5772727272727272,0.5772727272727272,0.5772727272727272,1.7201086956521738,1.7282608695652173,1.7364130434782608,1.703804347826087,0.5244565217391305,1,1,1,1,0
23,31.0,0.682608695652174,0.682608695652174,0.682608695652174,0.682608695652174,0.682608695652174,1.7265625,1.734375,1.7421875,1.7109375,0.5234375,1,1,1,1,0
24,30.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.3425,0.35,0.35750000000000004,1.5225,0.3275,0,0,0,1,0
25,29.0,0.38,0.38,0.38,0.38,0.38,0.3341346153846154,1.5360576923076923,0.3485576923076923,0.3269230769230769,0.31971153846153844,0,1,0,0,0
26,24.0,0.3730769230769231,0.3730769230769231,0.3730769230769231,0.3730769230769231,0.3730769230769231,1.7800925925925926,1.7939814814814814,1.7939814814814814,1.7731481481481481,1.7662037037037037,1,1,1,1,1
27,22.0,0.7814814814814814,0.7814814814814814,0.7814814814814814,0.7814814814814814,0.7814814814814814,1.59375,0.4129464285714286,0.4129464285714286,0.39285714285714285,1.5803571428571428,1,0,0,0,1
28,19.0,0.47857142857142854,0.47857142857142854,0.47857142857142854,0.47857142857142854,0.47857142857142854,1.6594827586206895,0.4719827586206896,0.4719827586206896,1.646551724137931,1.646551724137931,1,0,0,1,1
29,16.0,0.5793103448275863,0.5793103448275863,0.5793103448275863,0.5793103448275863,0.5793103448275863,1.6625,0.46875,1.6625,0.45625000000000004,1.65,1,0,1,0,1
