episode,agent_id,total_reward,consumption_count,final_emotional_state,exploration_rate
0,0,5.266666666666667,6.0,-1.0,0.8261686238355865
0,1,4.266666666666667,5.0,-0.6,0.8261686238355865
0,2,5.066666666666666,6.0,-0.6,0.8261686238355865
1,0,4.786666666666667,5.0,-0.6,0.4998370298991989
1,1,9.493333333333334,11.0,-1.0,0.4998370298991989
1,2,8.386666666666667,10.0,-0.6,0.4998370298991989
2,0,5.866666666666667,7.0,-1.0,0.3024044356690215
2,1,6.4,8.0,-1.0,0.3024044356690215
2,2,1.0266666666666666,1.0,-1.0,0.3024044356690215
3,0,7.960000000000001,9.0,-0.6,0.18295651830906087
3,1,1.9866666666666666,2.0,-1.0,0.18295651830906087
3,2,6.2,7.0,-1.0,0.18295651830906087
4,0,3.6,4.0,-0.6,0.11068980359934164
4,1,0.8666666666666667,1.0,-1.0,0.11068980359934164
4,2,2.533333333333333,3.0,-0.6,0.11068980359934164
5,0,6.2,7.0,-0.19999999999999996,0.09910481551887473
5,1,1.8,2.0,-1.0,0.09910481551887473
5,2,2.8,3.0,-0.6,0.09910481551887473
6,0,3.6333333333333333,4.0,-0.6,0.09910481551887473
6,1,6.933333333333334,9.0,-1.0,0.09910481551887473
6,2,4.533333333333333,5.0,-1.0,0.09910481551887473
7,0,6.32,7.0,-0.6,0.09910481551887473
7,1,8.400000000000002,10.0,-1.0,0.09910481551887473
7,2,3.9199999999999995,4.0,-0.6,0.09910481551887473
8,0,5.044444444444444,6.0,-1.0,0.09910481551887473
8,1,2.6,3.0,-1.0,0.09910481551887473
8,2,0.8666666666666667,1.0,-0.6,0.09910481551887473
9,0,6.786666666666666,9.0,-1.0,0.09910481551887473
9,1,5.066666666666666,6.0,-1.0,0.09910481551887473
9,2,2.92,3.0,-0.6,0.09910481551887473
10,0,5.6000000000000005,6.0,-1.0,0.09910481551887473
10,1,4.6,5.0,-1.0,0.09910481551887473
10,2,6.866666666666666,8.0,-0.6,0.09910481551887473
11,0,9.046666666666667,10.0,-0.19999999999999996,0.09910481551887473
11,1,7.4,10.0,-0.19999999999999996,0.09910481551887473
11,2,4.760000000000001,5.0,-0.19999999999999996,0.09910481551887473
12,0,7.133333333333334,8.0,-0.6,0.09910481551887473
12,1,7.466666666666666,10.0,-1.0,0.09910481551887473
12,2,3.76,4.0,-0.6,0.09910481551887473
13,0,4.466666666666667,5.0,-1.0,0.09910481551887473
13,1,2.8,3.0,-1.0,0.09910481551887473
13,2,4.866666666666667,7.0,-1.0,0.09910481551887473
14,0,7.5600000000000005,9.0,-0.6,0.09910481551887473
14,1,5.653333333333334,6.0,-1.0,0.09910481551887473
14,2,7.353333333333334,8.0,-0.19999999999999996,0.09910481551887473
15,0,7.0,8.0,-0.6,0.09910481551887473
15,1,3.893333333333333,4.0,-0.6,0.09910481551887473
15,2,6.0,7.0,-1.0,0.09910481551887473
16,0,4.053333333333333,4.0,-0.6,0.09910481551887473
16,1,8.555555555555555,9.0,-0.19999999999999996,0.09910481551887473
16,2,11.626666666666665,14.0,-0.6,0.09910481551887473
17,0,4.066666666666666,5.0,-0.6,0.09910481551887473
17,1,5.566666666666666,7.0,-1.0,0.09910481551887473
17,2,7.666666666666667,9.0,-1.0,0.09910481551887473
18,0,7.036666666666667,9.0,-0.6,0.09910481551887473
18,1,6.693333333333334,7.0,-1.0,0.09910481551887473
18,2,8.013333333333334,9.0,-1.0,0.09910481551887473
19,0,7.053333333333333,8.0,-0.19999999999999996,0.09910481551887473
19,1,4.760000000000001,5.0,-1.0,0.09910481551887473
19,2,6.111111111111111,7.0,-1.0,0.09910481551887473
20,0,10.003333333333334,12.0,-0.6,0.09910481551887473
20,1,7.933333333333333,9.0,-0.6,0.09910481551887473
20,2,7.568888888888889,8.0,-0.6,0.09910481551887473
21,0,3.866666666666667,4.0,-1.0,0.09910481551887473
21,1,7.133333333333334,9.0,-1.0,0.09910481551887473
21,2,4.46,5.0,-1.0,0.09910481551887473
22,0,6.433333333333334,7.0,-1.0,0.09910481551887473
22,1,9.226666666666667,10.0,-1.0,0.09910481551887473
22,2,10.620000000000001,12.0,-0.6,0.09910481551887473
23,0,7.933333333333333,9.0,-0.19999999999999996,0.09910481551887473
23,1,7.2,8.0,-0.6,0.09910481551887473
23,2,6.72,7.0,-0.6,0.09910481551887473
24,0,7.4,8.0,-0.6,0.09910481551887473
24,1,5.546666666666666,6.0,-1.0,0.09910481551887473
24,2,8.527777777777779,10.0,-0.6,0.09910481551887473
25,0,3.96,4.0,-1.0,0.09910481551887473
25,1,3.6,4.0,-0.6,0.09910481551887473
25,2,6.266666666666667,8.0,-1.0,0.09910481551887473
26,0,4.688888888888889,5.0,-1.0,0.09910481551887473
26,1,8.733333333333334,10.0,-0.6,0.09910481551887473
26,2,4.666666666666667,5.0,-0.6,0.09910481551887473
27,0,5.133333333333334,6.0,-0.19999999999999996,0.09910481551887473
27,1,0.8666666666666667,1.0,-1.0,0.09910481551887473
27,2,5.533333333333333,7.0,-1.0,0.09910481551887473
28,0,5.231111111111111,6.0,-1.0,0.09910481551887473
28,1,7.32,8.0,-0.6,0.09910481551887473
28,2,8.600000000000001,10.0,-0.19999999999999996,0.09910481551887473
29,0,8.833333333333334,10.0,-0.19999999999999996,0.09910481551887473
29,1,7.613333333333332,8.0,-0.6,0.09910481551887473
29,2,6.666666666666667,7.0,-1.0,0.09910481551887473
30,0,5.96,7.0,-0.6,0.09910481551887473
30,1,7.293333333333333,8.0,-0.6,0.09910481551887473
30,2,7.253333333333334,9.0,-0.6,0.09910481551887473
31,0,7.826666666666667,9.0,-0.19999999999999996,0.09910481551887473
31,1,4.4,5.0,-0.6,0.09910481551887473
31,2,5.066666666666667,6.0,-1.0,0.09910481551887473
32,0,5.53,6.0,-1.0,0.09910481551887473
32,1,6.37,7.0,-1.0,0.09910481551887473
32,2,7.213333333333335,8.0,-1.0,0.09910481551887473
33,0,4.266666666666667,5.0,-1.0,0.09910481551887473
33,1,7.9,9.0,-1.0,0.09910481551887473
33,2,6.553333333333334,7.0,-1.0,0.09910481551887473
34,0,4.466666666666667,5.0,-0.6,0.09910481551887473
34,1,6.2,7.0,-1.0,0.09910481551887473
34,2,8.993333333333334,10.0,-0.6,0.09910481551887473
35,0,6.533333333333333,7.0,-0.6,0.09910481551887473
35,1,8.260000000000002,9.0,-0.6,0.09910481551887473
35,2,6.0,7.0,-1.0,0.09910481551887473
36,0,4.333333333333334,5.0,-1.0,0.09910481551887473
36,1,3.8,4.0,-0.6,0.09910481551887473
36,2,4.96,6.0,-0.19999999999999996,0.09910481551887473
37,0,4.4,5.0,-0.19999999999999996,0.09910481551887473
37,1,4.466666666666667,5.0,-0.6,0.09910481551887473
37,2,3.5599999999999996,4.0,-1.0,0.09910481551887473
38,0,7.786666666666667,9.0,-1.0,0.09910481551887473
38,1,7.386666666666667,8.0,-0.6,0.09910481551887473
38,2,11.566666666666668,13.0,-0.6,0.09910481551887473
39,0,9.360000000000001,12.0,-0.6,0.09910481551887473
39,1,6.2,7.0,-0.6,0.09910481551887473
39,2,2.9333333333333336,3.0,-0.6,0.09910481551887473
40,0,8.700000000000001,10.0,-0.6,0.09910481551887473
40,1,7.466666666666667,8.0,-0.19999999999999996,0.09910481551887473
40,2,5.1866666666666665,6.0,-0.6,0.09910481551887473
41,0,6.466666666666667,7.0,-1.0,0.09910481551887473
41,1,5.902222222222222,6.0,-1.0,0.09910481551887473
41,2,7.6,9.0,-1.0,0.09910481551887473
42,0,6.453333333333333,7.0,-0.19999999999999996,0.09910481551887473
42,1,3.7266666666666666,4.0,-0.6,0.09910481551887473
42,2,7.900000000000001,10.0,-0.19999999999999996,0.09910481551887473
43,0,7.822222222222223,9.0,-1.0,0.09910481551887473
43,1,3.7600000000000002,4.0,-1.0,0.09910481551887473
43,2,3.1599999999999997,4.0,-0.6,0.09910481551887473
44,0,8.25,10.0,0.19999999999999996,0.09910481551887473
